Reference,Qty,Value,Description,Footprint,MPN,Digi-Key_PN,Unit_Price_100,Tier_Essential,Tier_Insight,Tier_Signature
R1,1,"100k 1%","Feedback divider top",0402,CRCW0402100KFKED,541-100KLCT-ND,$0.02,YES,YES,YES
R2,1,"24.9k 1%","Feedback divider bottom",0402,CRCW040224K9FKED,541-24.9KLCT-ND,$0.02,YES,YES,YES
R_WDI,1,"10k","Pull-up for TPS3823 WDI",0402,CRCW040210K0JNED,541-10.0KJCT-ND,$0.01,YES,YES,YES
C30,1,"100nF","Decoupling for TPS3823 VDD",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,YES,YES,YES
LED1,1,Red,"LED indicator, 12V presence",0603,150060RS75000,732-150060RS75000CT-ND,$0.05,YES,YES,YES
LED2,1,Green,"LED indicator, 5V OK",0603,150060GS75000,732-150060GS75000CT-ND,$0.05,YES,YES,YES
LED3,1,Blue,"LED indicator, 3.3V OK",0603,150060BS75000,732-150060BS75000CT-ND,$0.08,YES,YES,YES
R_LED1,1,"4.7k","LED current limit (12V indicator)",0402,CRCW04024K70JNED,541-4.70KJCT-ND,$0.01,YES,YES,YES
R_LED2,1,"330R","LED current limit (5V indicator)",0402,CRCW0402330RJNED,541-330JCT-ND,$0.01,YES,YES,YES
R_LED3,1,"100R","LED current limit (3.3V indicator)",0402,CRCW0402100RJNED,541-100JCT-ND,$0.01,YES,YES,YES
U3,2,MCP6002-I/SN,"Dual op-amp, rail-to-rail, 1MHz GBW",SOIC-8,MCP6002-I/SN,MCP6002-I/SN-ND,$0.52,YES,YES,YES
D3,1,PESD5V0S1BSF,"TVS ESD, 5V clamp, 0.4pF, pH channel",SOD-323F,PESD5V0S1BSF,568-13204-1-ND,$0.15,YES,YES,YES
D4,1,PESD5V0S1BSF,"TVS ESD, 5V clamp, ORP channel",SOD-323F,PESD5V0S1BSF,568-13204-1-ND,$0.15,YES,YES,YES
D5,1,PESD3V3S1BSF,"TVS ESD, 3.3V clamp, temp channel",SOD-323F,PESD3V3S1BSF,568-13206-1-ND,$0.15,YES,YES,YES
D6_CO2,1,PESD5V0S1BSF,"TVS ESD, 5V clamp, CO2 channel",SOD-323F,PESD5V0S1BSF,568-13204-1-ND,$0.15,DNP,YES,YES
D_DO,1,PESD5V0S1BSF,"TVS ESD, 5V clamp, DO channel",SOD-323F,PESD5V0S1BSF,568-13204-1-ND,$0.15,DNP,YES,YES
D6,1,PESD5V0S1BSF,"TVS ESD, 5V clamp, humidity channel",SOD-323F,PESD5V0S1BSF,568-13204-1-ND,$0.15,DNP,DNP,YES
"R3,R_ORP,R5,R9",4,"1k 1%","RC filter resistors, thin film",0402,CRCW04021K00FKED,541-1.00KLCT-ND,$0.02,YES*,YES,YES
"C11,C_ORP,C12,C14",4,"100nF","RC filter caps, X7R 50V",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,YES*,YES,YES
"R4,R_PD1-R_PD6",6,"10M","Pull-down bias resistors",0402,CRCW040210M0JNED,541-10.0MJCT-ND,$0.01,YES*,YES,YES
R8,1,"10k 1%","NTC series resistor, temp divider",0402,CRCW040210K0FKED,541-10.0KLCT-ND,$0.02,YES,YES,YES
"R10,R11",2,"4.7k 1%","I2C pull-up resistors to 3.3V",0402,CRCW04024K70FKED,541-4.70KLCT-ND,$0.02,YES,YES,YES
"D7,D8",1,PESD3V3S2USF,"TVS ESD, dual-line I2C, 0.5pF",SOT-23-3,PESD3V3S2USF,568-13207-1-ND,$0.22,YES,YES,YES
U4,1,ISO7721DR,"Digital isolator, 2-ch, 100Mbps, 2.5kV",SOIC-8,ISO7721DR,296-46893-1-ND,$1.85,YES,YES,YES
U6,1,HX711,"24-bit ADC, load cell, 80 SPS, gain 128",SOP-16,HX711,-(LCSC:C124335),$0.65,YES,YES,YES
R12,1,"10k","Pull-up on HX711 DOUT",0402,CRCW040210K0JNED,541-10.0KJCT-ND,$0.01,YES,YES,YES
"C19,C20",2,"100nF+10uF","HX711 decoupling",0402+0805,-,-,$0.03,YES,YES,YES
U_ISO_pH,1,SN6501DBVR,"Transformer driver, isolated power (pH)",SOT-23-5,SN6501DBVR,296-SN6501DBVRCT-ND,$0.95,YES,YES,YES
U_ADuM_pH,1,ADuM1250ARZ,"I2C isolator, 2.5kV, hot-swap (pH)",SOIC-8,ADuM1250ARZ,ADuM1250ARZ-ND,$2.50,YES,YES,YES
U_ISO_ORP,1,SN6501DBVR,"Transformer driver, isolated power (ORP)",SOT-23-5,SN6501DBVR,296-SN6501DBVRCT-ND,$0.95,YES,YES,YES
U_ADuM_ORP,1,ADuM1250ARZ,"I2C isolator, 2.5kV, hot-swap (ORP)",SOIC-8,ADuM1250ARZ,ADuM1250ARZ-ND,$2.50,YES,YES,YES
U_ISO_DO,1,SN6501DBVR,"Transformer driver, isolated power (DO)",SOT-23-5,SN6501DBVR,296-SN6501DBVRCT-ND,$0.95,DNP,YES,YES
U_ADuM_DO,1,ADuM1250ARZ,"I2C isolator, 2.5kV, hot-swap (DO)",SOIC-8,ADuM1250ARZ,ADuM1250ARZ-ND,$2.50,DNP,YES,YES
"C_ISO_pH_1,C_ISO_pH_2",2,"100nF","Isolation barrier decoupling, pH",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,YES,YES,YES
"C_ISO_ORP_1,C_ISO_ORP_2",2,"100nF","Isolation barrier decoupling, ORP",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,YES,YES,YES
"C_ISO_DO_1,C_ISO_DO_2",2,"100nF","Isolation barrier decoupling, DO",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,DNP,YES,YES
C23,1,"100nF","Op-amp decoupling",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,YES,YES,YES
U13,1,MAX485ESA+T,"RS485 transceiver, half-duplex (Hamilton)",SOIC-8,MAX485ESA+T,MAX485ESA+T-ND,$1.20,DNP,DNP,YES
R_TERM,1,"120R","RS485 termination resistor (DNP by default)",0402,-,-,$0.01,DNP,DNP,DNP
U7,1,IR2104SPBF,"Half-bridge gate driver, 600V bootstrap",SOIC-8,IR2104SPBF,IR2104SPBF-ND,$1.45,DNP,YES,YES
"Q1,Q2",2,IRLZ44NPBF,"N-MOSFET, logic-level, 55V 47A",TO-220AB,IRLZ44NPBF,IRLZ44NPBF-ND,$1.10,DNP,YES,YES
"Q3,Q4",2,2N7002,"N-MOSFET, small signal, 60V 300mA",SOT-23,2N7002,2N7002-FDICT-ND,$0.08,DNP,YES*,YES
Q5,1,IRLZ44NPBF,"N-MOSFET, CO2 PWM valve driver",TO-220AB,IRLZ44NPBF,IRLZ44NPBF-ND,$1.10,DNP,YES,YES
"K1,K2",2,HF46F-12-HS1,"Relay SPST-NO, 12V coil, 5A/250VAC",THT,HF46F-12-HS1,255-5799-ND,$1.20,DNP,YES*,YES
"U8,U9",2,PC817X2NIP,"Optocoupler dual, CTR 50-600%",DIP-8,PC817X2NIP,-(Mouser:852-PC817X2NIP0F),$0.35,DNP,YES,YES
"U10,U11",2,PC817X1NIP,"Optocoupler single, CTR 50-600%",DIP-4,PC817X1NIP,-(Mouser:852-PC817X1NIP0F),$0.18,DNP,YES*,YES
"D9,D10,D13",3,SS34,"Schottky flyback diodes, 40V 3A",SMA,SS34,SS34-E3/57TCT-ND,$0.28,DNP,YES,YES
"D11,D12",2,1N4148W,"Signal flyback diodes, relays",SOD-323,1N4148W,1N4148WX-TPMSCT-ND,$0.03,DNP,YES*,YES
"R13-R20",8,"1k","Current limit resistors, optocouplers",0402,CRCW04021K00JNED,541-1.00KJCT-ND,$0.01,DNP,YES*,YES
R21,1,"10k","CO2 PWM RC filter resistor",0402,CRCW040210K0JNED,541-10.0KJCT-ND,$0.01,DNP,YES,YES
C22,1,"100nF","CO2 PWM RC filter cap",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,DNP,YES,YES
"C21,C28,C29",3,"100nF","Driver IC decoupling",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,DNP,YES,YES
J1,1,BNC,"BNC receptacle, panel mount, pH probe",THT,31-221-RFX,ARF1065-ND,$1.85,YES,YES,YES
J2,1,BNC,"BNC receptacle, panel mount, ORP probe",THT,31-221-RFX,ARF1065-ND,$1.85,YES,YES,YES
J3,1,"JST-XH 3P","JST-XH header, CO2 pressure sensor",THT,B3B-XH-A(LF)(SN),455-2248-ND,$0.15,DNP,YES,YES
J4,1,BNC,"BNC receptacle, panel mount, DO probe",THT,31-221-RFX,ARF1065-ND,$1.85,DNP,YES,YES
J5,1,"JST-XH 2P","JST-XH header, NTC temperature",THT,B2B-XH-A(LF)(SN),455-2247-ND,$0.12,YES,YES,YES
J6,1,"JST-XH 3P","JST-XH header, humidity sensor",THT,B3B-XH-A(LF)(SN),455-2248-ND,$0.15,DNP,DNP,YES
"J7-J13",7,"Qwiic 4P","JST-SH Qwiic header (I2C)",SMD,SM04B-SRSS-TB(LF)(SN),455-1804-1-ND,$0.32,YES*,YES*,YES
J14,1,"Terminal 4P","Terminal block, load cell E+/E-/S+/S-",THT,1757242,277-1274-ND,$0.85,YES,YES,YES
J_HMI,1,"JST-XH 4P","HMI UART: 5V/TX/RX/GND (Nextion)",THT,B4B-XH-A(LF)(SN),455-2249-ND,$0.15,YES,YES,YES
D_HMI,1,PESD3V3S2USF,"TVS ESD dual-line, HMI UART",SOT-23-3,PESD3V3S2USF,568-13207-1-ND,$0.22,YES,YES,YES
J17,1,PJ-002AH,"DC barrel jack, 2.1x5.5mm, 12V input",THT,PJ-002AH,CP-002AH-ND,$0.75,YES,YES,YES
"J18,J19,J20",3,"Terminal 2P","Terminal blocks, actuator outputs",THT,1757229,277-1273-ND,$0.52,DNP,YES*,YES
J21,1,"2x20 Shield","Arduino UNO Q shield header, stackable",THT,-(generic),-(generic),$1.50,YES,YES,YES
J_RS485,1,"Terminal 4P","Terminal block, RS485 (Hamilton)",THT,1757242,277-1274-ND,$0.85,DNP,DNP,YES
R_LED,1,"330R","Status LED current limit",0402,CRCW0402330RJNED,541-330JCT-ND,$0.01,YES,YES,YES
LED_STATUS,1,"Red/Green","Bicolor status LED (D13)",0603,-,-,$0.08,YES,YES,YES
"D_CL1-D_CL3",3,BAT54S,"Dual Schottky sensor clamp, 30V",SOT-23-3,BAT54S,BAT54SLT1GOSCT-ND,$0.06,YES,YES,YES
